Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct
738465,Dancing in the park,08/03/2024 03:00:00 PM,08/03/2024 07:00:00 PM,Parks Department,Special Event,Queens,Springfield Park: Springfield Park,,N/A,"13,","105,"
746200,SMBC LAYMEN'S ANNUAL PICNIC,08/03/2024 10:00:00 AM,08/03/2024 05:00:00 PM,Parks Department,Special Event,Brooklyn,Prospect Park: Picnic House North,,N/A,"55,","78,"
738460,Dancing in the park,07/27/2024 03:00:00 PM,07/27/2024 09:00:00 PM,Parks Department,Special Event,Queens,Rockaway Beach and Boardwalk: Beach 94th Street,,N/A,"14,","100,"
739489,Picnic,08/17/2024 11:00:00 AM,08/17/2024 07:00:00 PM,Parks Department,Special Event,Queens,"Cambria Playground/Cabbell Park: Lawn   ,Cambria Playground/Cabbell Park: Softball-01",,N/A,"13,","105,"
745851,Alley Bowl IV,02/11/2024 09:30:00 AM,02/11/2024 11:00:00 AM,Parks Department,Special Event,Queens,Alley Pond Park: Alley Springfield BBQ Area Green,,N/A,"11,","111,"
739085,MOTHER'S DAY HALF MARATHON OR 5K,05/11/2024 09:00:00 AM,05/11/2024 11:00:00 AM,Parks Department,Special Event,Queens,Rockaway Beach and Boardwalk: Beach 94th Street,,N/A,"14,","100,"
745917,Miscellaneous,05/31/2024 09:00:00 AM,05/31/2024 01:00:00 PM,Parks Department,Special Event,Queens,Alley Pond Park: Alley Springfield BBQ Area Orange,,N/A,"11,","111,"
741469,Soccer - Non Regulation,01/23/2024 08:00:00 PM,01/23/2024 10:00:00 PM,Parks Department,Sport - Adult,Queens,Astoria Park: Soccer-01,,N/A,"1,","114,"
740944,Miscellaneous,01/23/2024 01:00:00 PM,01/23/2024 05:00:00 PM,Parks Department,Sport - Youth,Brooklyn,Manhattan Beach Park: Softball-01,,N/A,"15,","61,"
752963,PS 124 Field day,05/28/2024 10:00:00 AM,05/28/2024 02:00:00 PM,Parks Department,Special Event,Brooklyn,Prospect Park: Picnic House North,,N/A,"55,","78,"
741665,Lawn closure - Dene Lawn,01/24/2024 12:00:00 AM,01/24/2024 11:59:00 PM,Parks Department,Special Event,Manhattan,Central Park: Dene Lawn,,N/A,"64,","22,"
748230,Soccer - Non Regulation,01/23/2024 03:30:00 PM,01/23/2024 06:00:00 PM,Parks Department,Sport - Youth,Bronx,Crotona Park: Soccer-01,,N/A,"03,","42,"
741403,Soccer -Regulation,01/23/2024 04:00:00 PM,01/23/2024 06:00:00 PM,Parks Department,Sport - Youth,Queens,Astoria Park: Soccer-01,,N/A,"1,","114,"
741592,Football - Youth,01/23/2024 08:00:00 PM,01/23/2024 11:00:00 PM,Parks Department,Sport - Youth,Brooklyn,Leif Ericson Park: Dust Bowl - Soccer/Football-01,,N/A,"10,","68,"
747986,Football Ã¢â¬â Flag Football,01/24/2024 08:00:00 AM,01/24/2024 03:30:00 PM,Parks Department,Sport - Adult,Bronx,Van Cortlandt Park: Stadium-Soccer-08,,N/A,"26,","50,"
747914,Soccer - Non Regulation,01/23/2024 03:30:00 PM,01/23/2024 06:00:00 PM,Parks Department,Sport - Youth,Bronx,Crotona Park: Soccer-02,,N/A,"3,","42,"
743547,Tennis,01/24/2024 08:00:00 AM,01/24/2024 08:00:00 PM,Parks Department,Sport - Adult,Queens,"Astoria Park: Tennis-13 ,Crocheron Park: Tennis-06 ,Kissena Park: Tennis-12 ,Flushing Fields: Tennis-01 ,Juniper Valley Park: Juniper Playground-Tennis-02",,N/A,"05, 07, 1, 11,","104, 109, 111, 114,"
744785,Soccer -Regulation,01/24/2024 09:00:00 AM,01/24/2024 08:00:00 PM,Parks Department,Sport - Youth,Manhattan,"Randall's Island Park: Wards Meadow Fields-Soccer-74 ,Randall's Island Park: Wards Meadow Fields-Soccer-70 ,Randall's Island Park: Sunken Garden Fields-Soccer-91 ,Randall's Island Park: Wards Meadow Fields-Soccer-72 ,Randall's Island Park: Wards Meadow Fields-Soccer-75",,N/A,"11,","25,"
745527,Soccer - Non Regulation,01/23/2024 03:00:00 PM,01/23/2024 06:00:00 PM,Parks Department,Sport - Youth,Manhattan,Peter's Field: Soccer-01,,N/A,"06,","13,"
739762,Lawn closure - Bowling Green,01/24/2024 12:00:00 AM,01/24/2024 11:59:00 PM,Parks Department,Special Event,Manhattan,Central Park: Bowling Green Lawn,,N/A,"64,","22,"
744990,Soccer - Non Regulation,01/23/2024 03:00:00 PM,01/23/2024 06:00:00 PM,Parks Department,Sport - Youth,Manhattan,Chelsea Park: Soccer-01,,N/A,"04,","10,"
741139,Soccer - Non Regulation,01/23/2024 08:00:00 PM,01/23/2024 10:00:00 PM,Parks Department,Sport - Adult,Brooklyn,Bushwick Inlet Park: Soccer-01,,N/A,"01,","94,"
753528,RIPA Events,01/24/2024 06:00:00 AM,01/24/2024 11:00:00 PM,Parks Department,Special Event,Manhattan,Randall's Island Park: Soccer-10,,N/A,"11,","25,"
748649,Soccer - Non Regulation,01/23/2024 04:30:00 PM,01/23/2024 06:00:00 PM,Parks Department,Sport - Youth,Manhattan,James J Walker Park: Soccer-01,,N/A,"2,","6,"
741372,Soccer - Non Regulation,01/23/2024 01:00:00 PM,01/23/2024 03:00:00 PM,Parks Department,Sport - Adult,Manhattan,Sara D. Roosevelt Park: Nike Field-Soccer-02,,N/A,"03,","5,"
752593,PRODUCTION PARKING - Hudson Yards Event,01/24/2024 12:30:00 AM,01/27/2024 11:30:00 PM,Street Activity Permit Office,Production Event,Manhattan,11 AVENUE between WEST   33 STREET and WEST   30 STREET,East,Curb Lane Only,"4,","10,"
736010,Temporary Full Closure,01/23/2024 04:30:00 PM,01/23/2024 10:00:00 PM,Parks Department,Sport - Adult,Manhattan,Sara D. Roosevelt Park: Nike Field-Soccer-02,,N/A,"03,","5,"
748053,Model Helicopter Flying,01/24/2024 08:00:00 AM,01/24/2024 08:00:00 PM,Parks Department,Special Event,Brooklyn,Calvert Vaux Park: Hobby Field,,N/A,"13,","60,"
